"source_city_name","source_lng","source_lat","source_country_name","source_country_code","source_continent","target_city_name","target_lng","target_lat","target_country_name","target_country_code","target_continent"
"Fukaya",139.2815,36.197472222,"Japan","JP","Asia","Tomioka",138.889916666,36.259916666,"Japan","JP","Asia"
"Ishigaki",124.18525,24.3445,"Japan","JP","Asia","Okazaki",137.173027777,34.954722222,"Japan","JP","Asia"
"Tsuru",138.905444444,35.551527777,"Japan","JP","Asia","Kushiro",144.381722222,42.984888888,"Japan","JP","Asia"
"Koga",139.755444444,36.17825,"Japan","JP","Asia","Ono",136.4875,35.979722222,"Japan","JP","Asia"
"Kakegawa",137.998388888,34.76875,"Japan","JP","Asia","Ōshū",141.139138888,39.144472222,"Japan","JP","Asia"
"Konan",136.870666666,35.332083333,"Japan","JP","Asia","Fujisawa",139.491111111,35.338833333,"Japan","JP","Asia"
"Shiroishi",140.619888888,38.002444444,"Japan","JP","Asia","Noboribetsu",141.106583333,42.41275,"Japan","JP","Asia"
"Konan",136.870666666,35.332083333,"Japan","JP","Asia","Fujimi",139.549166666,35.856555555,"Japan","JP","Asia"
"Shirakawa",140.210916666,37.126305555,"Japan","JP","Asia","Kuwana",136.683666666,35.062194444,"Japan","JP","Asia"
"Kurobe",137.44775,36.871444444,"Japan","JP","Asia","Nemuro",145.582861111,43.330083333,"Japan","JP","Asia"
"Hachimantai",141.071638888,39.956388888,"Japan","JP","Asia","Miyako",141.946111111,39.639722222,"Japan","JP","Asia"
"Higashimatsuyama",139.399916666,36.042166666,"Japan","JP","Asia","Higashimatsushima",141.211083333,38.426388888,"Japan","JP","Asia"
"Higashine",140.391083333,38.431305555,"Japan","JP","Asia","Higashimatsushima",141.211083333,38.426388888,"Japan","JP","Asia"
"Fukuroi",137.924666666,34.750166666,"Japan","JP","Asia","Iwanuma",140.870166666,38.104277777,"Japan","JP","Asia"
"Tsushima",136.741277777,35.177055555,"Japan","JP","Asia","Fujioka",139.074555555,36.258694444,"Japan","JP","Asia"
"Konan",136.870666666,35.332083333,"Japan","JP","Asia","Fujioka",139.074555555,36.258694444,"Japan","JP","Asia"
"Kaminoyama",140.267861111,38.149583333,"Japan","JP","Asia","Takayama",137.252166666,36.146027777,"Japan","JP","Asia"
"Kaminoyama",140.267861111,38.149583333,"Japan","JP","Asia","Natori",140.891805555,38.171527777,"Japan","JP","Asia"
"Shingu",135.992555555,33.724166666,"Japan","JP","Asia","Natori",140.891805555,38.171527777,"Japan","JP","Asia"
"Kitahiroshima",141.563083333,42.9855,"Japan","JP","Asia","Higashihiroshima",132.743333333,34.426388888,"Japan","JP","Asia"
"Wajima",136.8875,37.3375,"Japan","JP","Asia","Ishikari",141.3155,43.171361111,"Japan","JP","Asia"
"Wajima",136.8875,37.3375,"Japan","JP","Asia","Owariasahi",137.035361111,35.216527777,"Japan","JP","Asia"
