"display_name","year","yearly_count","rank"
"Karoro (Southern black-backed gull)",1980,2,7
"Karoro (Southern black-backed gull)",1981,NA,7
"Karoro (Southern black-backed gull)",1982,NA,7
"Karoro (Southern black-backed gull)",1983,NA,7
"Karoro (Southern black-backed gull)",1984,1,7
"Karoro (Southern black-backed gull)",1985,16,7
"Karoro (Southern black-backed gull)",1986,12,5
"Karoro (Southern black-backed gull)",1987,2,6
"Karoro (Southern black-backed gull)",1988,2,7
"Karoro (Southern black-backed gull)",1989,2,6
"Mollymawk (Black-browed or Shy)",1976,3,1
"Mollymawk (Black-browed or Shy)",1977,19,1
"Mollymawk (Black-browed or Shy)",1978,63,1
"Mollymawk (Black-browed or Shy)",1979,41,1
"Mollymawk (Black-browed or Shy)",1980,33,1
"Mollymawk (Black-browed or Shy)",1981,10,1
"Mollymawk (Black-browed or Shy)",1982,17,1
"Mollymawk (Black-browed or Shy)",1983,38,1
"Mollymawk (Black-browed or Shy)",1984,63,1
"Mollymawk (Black-browed or Shy)",1985,141,1
"Mollymawk (Black-browed or Shy)",1986,75,1
"Mollymawk (Black-browed or Shy)",1987,51,1
"Mollymawk (Black-browed or Shy)",1988,83,2
"Mollymawk (Black-browed or Shy)",1989,41,1
"Pintado (Cape petrel)",1976,1,2
"Pintado (Cape petrel)",1977,2,3
"Pintado (Cape petrel)",1978,14,4
"Pintado (Cape petrel)",1979,2,6
"Pintado (Cape petrel)",1980,9,3
"Pintado (Cape petrel)",1981,2,3
"Pintado (Cape petrel)",1982,2,4
"Pintado (Cape petrel)",1983,7,5
"Pintado (Cape petrel)",1984,19,3
"Pintado (Cape petrel)",1985,68,3
"Pintado (Cape petrel)",1986,12,6
"Pintado (Cape petrel)",1987,5,5
"Pintado (Cape petrel)",1988,17,5
"Pintado (Cape petrel)",1989,3,5
"Rako (Buller's shearwater)",1978,10,6
"Rako (Buller's shearwater)",1979,NA,6
"Rako (Buller's shearwater)",1980,NA,6
"Rako (Buller's shearwater)",1981,NA,6
"Rako (Buller's shearwater)",1982,NA,6
"Rako (Buller's shearwater)",1983,NA,6
"Rako (Buller's shearwater)",1984,2,6
"Rako (Buller's shearwater)",1985,4,8
"Rako (Buller's shearwater)",1986,4,7
"Toroa (Wandering albatross)",1977,9,2
"Toroa (Wandering albatross)",1978,11,5
"Toroa (Wandering albatross)",1979,8,3
"Toroa (Wandering albatross)",1980,13,2
"Toroa (Wandering albatross)",1981,1,5
"Toroa (Wandering albatross)",1982,1,5
"Toroa (Wandering albatross)",1983,9,4
"Toroa (Wandering albatross)",1984,15,5
"Toroa (Wandering albatross)",1985,84,2
"Toroa (Wandering albatross)",1986,23,3
"Toroa (Wandering albatross)",1987,13,3
"Toroa (Wandering albatross)",1988,91,1
"Toroa (Wandering albatross)",1989,19,2
"Tītī (Sooty shearwater)",1977,1,4
"Tītī (Sooty shearwater)",1978,6,7
"Tītī (Sooty shearwater)",1979,3,5
"Tītī (Sooty shearwater)",1980,6,4
"Tītī (Sooty shearwater)",1981,1,6
"Tītī (Sooty shearwater)",1982,6,2
"Tītī (Sooty shearwater)",1983,10,2
"Tītī (Sooty shearwater)",1984,18,4
"Tītī (Sooty shearwater)",1985,22,6
"Tītī (Sooty shearwater)",1986,17,4
"Tītī (Sooty shearwater)",1987,11,4
"Tītī (Sooty shearwater)",1988,41,3
"Tītī (Sooty shearwater)",1989,11,3
"Tītī Wainui (Prion)",1977,1,5
"Tītī Wainui (Prion)",1978,18,3
"Tītī Wainui (Prion)",1979,9,2
"Tītī Wainui (Prion)",1980,5,5
"Tītī Wainui (Prion)",1981,3,2
"Tītī Wainui (Prion)",1982,1,6
"Tītī Wainui (Prion)",1983,1,6
"Tītī Wainui (Prion)",1984,1,8
"Tītī Wainui (Prion)",1985,28,5
"Tītī Wainui (Prion)",1986,3,8
"Tītī Wainui (Prion)",1987,1,7
"Tītī Wainui (Prion)",1988,14,6
"Ōi (Grey-faced petrel)",1978,56,2
"Ōi (Grey-faced petrel)",1979,6,4
"Ōi (Grey-faced petrel)",1980,5,6
"Ōi (Grey-faced petrel)",1981,2,4
"Ōi (Grey-faced petrel)",1982,4,3
"Ōi (Grey-faced petrel)",1983,10,3
"Ōi (Grey-faced petrel)",1984,21,2
"Ōi (Grey-faced petrel)",1985,49,4
"Ōi (Grey-faced petrel)",1986,28,2
"Ōi (Grey-faced petrel)",1987,18,2
"Ōi (Grey-faced petrel)",1988,22,4
"Ōi (Grey-faced petrel)",1989,11,4
