"display_name","year_fine","rank_fine"
"Karoro (Southern black-backed gull)",1980,7
"Karoro (Southern black-backed gull)",1980.1,7
"Karoro (Southern black-backed gull)",1980.2,7
"Karoro (Southern black-backed gull)",1980.3,7
"Karoro (Southern black-backed gull)",1980.4,7
"Karoro (Southern black-backed gull)",1980.5,7
"Karoro (Southern black-backed gull)",1980.6,7
"Karoro (Southern black-backed gull)",1980.7,7
"Karoro (Southern black-backed gull)",1980.8,7
"Karoro (Southern black-backed gull)",1980.9,7
"Karoro (Southern black-backed gull)",1981,7
"Karoro (Southern black-backed gull)",1981.1,7
"Karoro (Southern black-backed gull)",1981.2,7
"Karoro (Southern black-backed gull)",1981.3,7
"Karoro (Southern black-backed gull)",1981.4,7
"Karoro (Southern black-backed gull)",1981.5,7
"Karoro (Southern black-backed gull)",1981.6,7
"Karoro (Southern black-backed gull)",1981.7,7
"Karoro (Southern black-backed gull)",1981.8,7
"Karoro (Southern black-backed gull)",1981.9,7
"Karoro (Southern black-backed gull)",1982,7
"Karoro (Southern black-backed gull)",1982.1,7
"Karoro (Southern black-backed gull)",1982.2,7
"Karoro (Southern black-backed gull)",1982.3,7
"Karoro (Southern black-backed gull)",1982.4,7
"Karoro (Southern black-backed gull)",1982.5,7
"Karoro (Southern black-backed gull)",1982.6,7
"Karoro (Southern black-backed gull)",1982.7,7
"Karoro (Southern black-backed gull)",1982.8,7
"Karoro (Southern black-backed gull)",1982.9,7
"Karoro (Southern black-backed gull)",1983,7
"Karoro (Southern black-backed gull)",1983.1,7
"Karoro (Southern black-backed gull)",1983.2,7
"Karoro (Southern black-backed gull)",1983.3,7
"Karoro (Southern black-backed gull)",1983.4,7
"Karoro (Southern black-backed gull)",1983.5,7
"Karoro (Southern black-backed gull)",1983.6,7
"Karoro (Southern black-backed gull)",1983.7,7
"Karoro (Southern black-backed gull)",1983.8,7
"Karoro (Southern black-backed gull)",1983.9,7
"Karoro (Southern black-backed gull)",1984,7
"Karoro (Southern black-backed gull)",1984.1,7
"Karoro (Southern black-backed gull)",1984.2,7
"Karoro (Southern black-backed gull)",1984.3,7
"Karoro (Southern black-backed gull)",1984.4,7
"Karoro (Southern black-backed gull)",1984.5,7
"Karoro (Southern black-backed gull)",1984.6,7
"Karoro (Southern black-backed gull)",1984.7,7
"Karoro (Southern black-backed gull)",1984.8,7
"Karoro (Southern black-backed gull)",1984.9,7
"Karoro (Southern black-backed gull)",1985,6.99889444272615
"Karoro (Southern black-backed gull)",1985.1,6.99505475368674
"Karoro (Southern black-backed gull)",1985.2,6.9780261147388
"Karoro (Southern black-backed gull)",1985.3,6.90514825364493
"Karoro (Southern black-backed gull)",1985.4,6.63514895238688
"Karoro (Southern black-backed gull)",1985.5,6
"Karoro (Southern black-backed gull)",1985.6,5.36485104761312
"Karoro (Southern black-backed gull)",1985.7,5.09485174635507
"Karoro (Southern black-backed gull)",1985.8,5.0219738852612
"Karoro (Southern black-backed gull)",1985.9,5.00494524631326
"Karoro (Southern black-backed gull)",1986,5.00055277863692
"Karoro (Southern black-backed gull)",1986.1,5.00247262315663
"Karoro (Southern black-backed gull)",1986.2,5.0109869426306
"Karoro (Southern black-backed gull)",1986.3,5.04742587317754
"Karoro (Southern black-backed gull)",1986.4,5.18242552380656
"Karoro (Southern black-backed gull)",1986.5,5.5
"Karoro (Southern black-backed gull)",1986.6,5.81757447619344
"Karoro (Southern black-backed gull)",1986.7,5.95257412682246
"Karoro (Southern black-backed gull)",1986.8,5.9890130573694
"Karoro (Southern black-backed gull)",1986.9,5.99752737684337
"Karoro (Southern black-backed gull)",1987,6.00055277863692
"Karoro (Southern black-backed gull)",1987.1,6.00247262315663
"Karoro (Southern black-backed gull)",1987.2,6.0109869426306
"Karoro (Southern black-backed gull)",1987.3,6.04742587317754
"Karoro (Southern black-backed gull)",1987.4,6.18242552380656
"Karoro (Southern black-backed gull)",1987.5,6.5
"Karoro (Southern black-backed gull)",1987.6,6.81757447619344
"Karoro (Southern black-backed gull)",1987.7,6.95257412682246
"Karoro (Southern black-backed gull)",1987.8,6.9890130573694
"Karoro (Southern black-backed gull)",1987.9,6.99752737684337
"Karoro (Southern black-backed gull)",1988,6.99944722136308
"Karoro (Southern black-backed gull)",1988.1,6.99752737684337
"Karoro (Southern black-backed gull)",1988.2,6.9890130573694
"Karoro (Southern black-backed gull)",1988.3,6.95257412682246
"Karoro (Southern black-backed gull)",1988.4,6.81757447619344
"Karoro (Southern black-backed gull)",1988.5,6.5
"Karoro (Southern black-backed gull)",1988.6,6.18242552380656
"Karoro (Southern black-backed gull)",1988.7,6.04742587317754
"Karoro (Southern black-backed gull)",1988.8,6.0109869426306
"Karoro (Southern black-backed gull)",1988.9,6.00247262315663
"Mollymawk (Black-browed or Shy)",1976,1
"Mollymawk (Black-browed or Shy)",1976.1,1
"Mollymawk (Black-browed or Shy)",1976.2,1
