"display_name","year","yearly_count","rank"
"Karoro (Southern black-backed gull)",1982,3,6
"Karoro (Southern black-backed gull)",1983,NA,6
"Karoro (Southern black-backed gull)",1984,1,8
"Karoro (Southern black-backed gull)",1985,NA,8
"Karoro (Southern black-backed gull)",1986,1,7
"Mollymawk (Black-browed or Shy)",1981,22,2
"Mollymawk (Black-browed or Shy)",1982,26,3
"Mollymawk (Black-browed or Shy)",1983,82,2
"Mollymawk (Black-browed or Shy)",1984,54,2
"Mollymawk (Black-browed or Shy)",1985,18,3
"Mollymawk (Black-browed or Shy)",1986,21,2
"Mollymawk (Black-browed or Shy)",1987,30,2
"Mollymawk (Black-browed or Shy)",1988,4,2
"Pintado (Cape petrel)",1981,15,3
"Pintado (Cape petrel)",1982,30,2
"Pintado (Cape petrel)",1983,32,3
"Pintado (Cape petrel)",1984,26,3
"Pintado (Cape petrel)",1985,19,2
"Pintado (Cape petrel)",1986,13,4
"Pintado (Cape petrel)",1987,17,3
"Rako (Buller's shearwater)",1981,8,4
"Rako (Buller's shearwater)",1982,8,4
"Rako (Buller's shearwater)",1983,9,5
"Rako (Buller's shearwater)",1984,5,7
"Rako (Buller's shearwater)",1985,6,5
"Rako (Buller's shearwater)",1986,3,6
"Rako (Buller's shearwater)",1987,2,7
"Rako (Buller's shearwater)",1988,2,4
"Toroa (Wandering albatross)",1980,4,1
"Toroa (Wandering albatross)",1981,85,1
"Toroa (Wandering albatross)",1982,165,1
"Toroa (Wandering albatross)",1983,157,1
"Toroa (Wandering albatross)",1984,114,1
"Toroa (Wandering albatross)",1985,125,1
"Toroa (Wandering albatross)",1986,88,1
"Toroa (Wandering albatross)",1987,128,1
"Toroa (Wandering albatross)",1988,43,1
"Tītī (Sooty shearwater)",1981,7,5
"Tītī (Sooty shearwater)",1982,6,5
"Tītī (Sooty shearwater)",1983,8,7
"Tītī (Sooty shearwater)",1984,9,6
"Tītī (Sooty shearwater)",1985,4,6
"Tītī (Sooty shearwater)",1986,16,3
"Tītī (Sooty shearwater)",1987,12,4
"Tītī (Sooty shearwater)",1988,3,3
"Tītī Wainui (Prion)",1981,2,6
"Tītī Wainui (Prion)",1982,3,7
"Tītī Wainui (Prion)",1983,17,4
"Tītī Wainui (Prion)",1984,15,4
"Tītī Wainui (Prion)",1985,9,4
"Tītī Wainui (Prion)",1986,6,5
"Tītī Wainui (Prion)",1987,12,5
"Ōi (Grey-faced petrel)",1981,1,7
"Ōi (Grey-faced petrel)",1982,NA,7
"Ōi (Grey-faced petrel)",1983,9,6
"Ōi (Grey-faced petrel)",1984,10,5
"Ōi (Grey-faced petrel)",1985,NA,5
"Ōi (Grey-faced petrel)",1986,NA,5
"Ōi (Grey-faced petrel)",1987,4,6
