"display_name","year","yearly_count","rank"
"Karoro (Southern black-backed gull)",1969,211,2
"Karoro (Southern black-backed gull)",1970,NA,2
"Karoro (Southern black-backed gull)",1971,NA,2
"Karoro (Southern black-backed gull)",1972,NA,2
"Karoro (Southern black-backed gull)",1973,NA,2
"Karoro (Southern black-backed gull)",1974,NA,2
"Karoro (Southern black-backed gull)",1975,NA,2
"Karoro (Southern black-backed gull)",1976,31,5
"Karoro (Southern black-backed gull)",1977,4,6
"Karoro (Southern black-backed gull)",1978,NA,6
"Karoro (Southern black-backed gull)",1979,NA,6
"Karoro (Southern black-backed gull)",1980,20,8
"Karoro (Southern black-backed gull)",1981,9,7
"Karoro (Southern black-backed gull)",1982,NA,7
"Karoro (Southern black-backed gull)",1983,NA,7
"Karoro (Southern black-backed gull)",1984,284,4
"Karoro (Southern black-backed gull)",1985,189,4
"Karoro (Southern black-backed gull)",1986,235,5
"Karoro (Southern black-backed gull)",1987,346,4
"Karoro (Southern black-backed gull)",1988,50,5
"Mollymawk (Black-browed or Shy)",1969,77,5
"Mollymawk (Black-browed or Shy)",1970,NA,5
"Mollymawk (Black-browed or Shy)",1971,NA,5
"Mollymawk (Black-browed or Shy)",1972,NA,5
"Mollymawk (Black-browed or Shy)",1973,NA,5
"Mollymawk (Black-browed or Shy)",1974,NA,5
"Mollymawk (Black-browed or Shy)",1975,NA,5
"Mollymawk (Black-browed or Shy)",1976,16,7
"Mollymawk (Black-browed or Shy)",1977,60,2
"Mollymawk (Black-browed or Shy)",1978,NA,2
"Mollymawk (Black-browed or Shy)",1979,NA,2
"Mollymawk (Black-browed or Shy)",1980,204,3
"Mollymawk (Black-browed or Shy)",1981,148,3
"Mollymawk (Black-browed or Shy)",1982,NA,3
"Mollymawk (Black-browed or Shy)",1983,NA,3
"Mollymawk (Black-browed or Shy)",1984,299,3
"Mollymawk (Black-browed or Shy)",1985,168,6
"Mollymawk (Black-browed or Shy)",1986,209,6
"Mollymawk (Black-browed or Shy)",1987,273,6
"Mollymawk (Black-browed or Shy)",1988,16,8
"Pintado (Cape petrel)",1969,172,3
"Pintado (Cape petrel)",1970,NA,3
"Pintado (Cape petrel)",1971,NA,3
"Pintado (Cape petrel)",1972,NA,3
"Pintado (Cape petrel)",1973,NA,3
"Pintado (Cape petrel)",1974,NA,3
"Pintado (Cape petrel)",1975,NA,3
"Pintado (Cape petrel)",1976,35,3
"Pintado (Cape petrel)",1977,1,7
"Pintado (Cape petrel)",1978,NA,7
"Pintado (Cape petrel)",1979,NA,7
"Pintado (Cape petrel)",1980,176,4
"Pintado (Cape petrel)",1981,106,4
"Pintado (Cape petrel)",1982,NA,4
"Pintado (Cape petrel)",1983,NA,4
"Pintado (Cape petrel)",1984,240,6
"Pintado (Cape petrel)",1985,133,8
"Pintado (Cape petrel)",1986,383,2
"Pintado (Cape petrel)",1987,480,2
"Pintado (Cape petrel)",1988,51,4
"Rako (Buller's shearwater)",1969,80,4
"Rako (Buller's shearwater)",1970,NA,4
"Rako (Buller's shearwater)",1971,NA,4
"Rako (Buller's shearwater)",1972,NA,4
"Rako (Buller's shearwater)",1973,NA,4
"Rako (Buller's shearwater)",1974,NA,4
"Rako (Buller's shearwater)",1975,NA,4
"Rako (Buller's shearwater)",1976,14,8
"Rako (Buller's shearwater)",1977,NA,8
"Rako (Buller's shearwater)",1978,NA,8
"Rako (Buller's shearwater)",1979,NA,8
"Rako (Buller's shearwater)",1980,63,7
"Rako (Buller's shearwater)",1981,24,6
"Rako (Buller's shearwater)",1982,NA,6
"Rako (Buller's shearwater)",1983,NA,6
"Rako (Buller's shearwater)",1984,244,5
"Rako (Buller's shearwater)",1985,308,2
"Rako (Buller's shearwater)",1986,138,8
"Rako (Buller's shearwater)",1987,142,8
"Rako (Buller's shearwater)",1988,52,2
"Toroa (Wandering albatross)",1969,466,1
"Toroa (Wandering albatross)",1970,NA,1
"Toroa (Wandering albatross)",1971,NA,1
"Toroa (Wandering albatross)",1972,NA,1
"Toroa (Wandering albatross)",1973,NA,1
"Toroa (Wandering albatross)",1974,NA,1
"Toroa (Wandering albatross)",1975,NA,1
"Toroa (Wandering albatross)",1976,374,1
"Toroa (Wandering albatross)",1977,238,1
"Toroa (Wandering albatross)",1978,NA,1
"Toroa (Wandering albatross)",1979,NA,1
"Toroa (Wandering albatross)",1980,1115,1
"Toroa (Wandering albatross)",1981,509,1
"Toroa (Wandering albatross)",1982,NA,1
"Toroa (Wandering albatross)",1983,NA,1
"Toroa (Wandering albatross)",1984,860,1
"Toroa (Wandering albatross)",1985,1289,1
"Toroa (Wandering albatross)",1986,689,1
"Toroa (Wandering albatross)",1987,567,1
"Toroa (Wandering albatross)",1988,74,1
"Tītī (Sooty shearwater)",1969,59,7
"Tītī (Sooty shearwater)",1970,NA,7
"Tītī (Sooty shearwater)",1971,NA,7
"Tītī (Sooty shearwater)",1972,NA,7
"Tītī (Sooty shearwater)",1973,NA,7
"Tītī (Sooty shearwater)",1974,NA,7
"Tītī (Sooty shearwater)",1975,NA,7
"Tītī (Sooty shearwater)",1976,47,2
"Tītī (Sooty shearwater)",1977,19,5
"Tītī (Sooty shearwater)",1978,NA,5
"Tītī (Sooty shearwater)",1979,NA,5
"Tītī (Sooty shearwater)",1980,84,5
"Tītī (Sooty shearwater)",1981,6,8
"Tītī (Sooty shearwater)",1982,NA,8
"Tītī (Sooty shearwater)",1983,NA,8
"Tītī (Sooty shearwater)",1984,89,8
"Tītī (Sooty shearwater)",1985,151,7
"Tītī (Sooty shearwater)",1986,269,3
"Tītī (Sooty shearwater)",1987,148,7
"Tītī (Sooty shearwater)",1988,20,7
"Tītī Wainui (Prion)",1969,58,8
"Tītī Wainui (Prion)",1970,NA,8
"Tītī Wainui (Prion)",1971,NA,8
"Tītī Wainui (Prion)",1972,NA,8
"Tītī Wainui (Prion)",1973,NA,8
"Tītī Wainui (Prion)",1974,NA,8
"Tītī Wainui (Prion)",1975,NA,8
"Tītī Wainui (Prion)",1976,33,4
"Tītī Wainui (Prion)",1977,31,4
"Tītī Wainui (Prion)",1978,NA,4
"Tītī Wainui (Prion)",1979,NA,4
"Tītī Wainui (Prion)",1980,73,6
"Tītī Wainui (Prion)",1981,67,5
"Tītī Wainui (Prion)",1982,NA,5
"Tītī Wainui (Prion)",1983,NA,5
"Tītī Wainui (Prion)",1984,229,7
"Tītī Wainui (Prion)",1985,174,5
"Tītī Wainui (Prion)",1986,201,7
"Tītī Wainui (Prion)",1987,287,5
"Tītī Wainui (Prion)",1988,52,3
"Ōi (Grey-faced petrel)",1969,62,6
"Ōi (Grey-faced petrel)",1970,NA,6
"Ōi (Grey-faced petrel)",1971,NA,6
"Ōi (Grey-faced petrel)",1972,NA,6
"Ōi (Grey-faced petrel)",1973,NA,6
"Ōi (Grey-faced petrel)",1974,NA,6
"Ōi (Grey-faced petrel)",1975,NA,6
"Ōi (Grey-faced petrel)",1976,24,6
"Ōi (Grey-faced petrel)",1977,46,3
"Ōi (Grey-faced petrel)",1978,NA,3
"Ōi (Grey-faced petrel)",1979,NA,3
"Ōi (Grey-faced petrel)",1980,311,2
"Ōi (Grey-faced petrel)",1981,201,2
"Ōi (Grey-faced petrel)",1982,NA,2
"Ōi (Grey-faced petrel)",1983,NA,2
"Ōi (Grey-faced petrel)",1984,355,2
"Ōi (Grey-faced petrel)",1985,260,3
"Ōi (Grey-faced petrel)",1986,244,4
"Ōi (Grey-faced petrel)",1987,352,3
"Ōi (Grey-faced petrel)",1988,40,6
