"product","Year","Ships_launched","Ships_weight","Steam_and_electric_engine","Rail_cars_and_electric_locomotives","Carriages_and_trailers","Mail_luggage_vans_and_carriages","Passenger_cars","Other","avg_ship_weight","pop"
"avg_ship_weight_pop",1861,216,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_ship_weight_pop",1862,215,25271,NA,NA,NA,NA,NA,NA,11754,0.8
"avg_ship_weight_pop",1863,285,37462,NA,NA,NA,NA,NA,NA,13144.6,0.9
"avg_ship_weight_pop",1864,266,38395,NA,NA,NA,NA,NA,NA,14434.2,1
"avg_ship_weight_pop",1865,907,58140,NA,NA,NA,NA,NA,NA,6410.1,0.4
"avg_ship_weight_pop",1866,675,59522,NA,NA,NA,NA,NA,NA,8818.1,0.6
"avg_ship_weight_pop",1867,642,72257,NA,NA,NA,NA,NA,NA,11255,0.8
"avg_ship_weight_pop",1868,703,86954,NA,NA,NA,NA,NA,NA,12369,0.8
"avg_ship_weight_pop",1869,683,96010,NA,NA,NA,NA,NA,NA,14057.1,1
"avg_ship_weight_pop",1870,724,90693,NA,NA,NA,NA,NA,NA,12526.7,0.9
"avg_ship_weight_pop",1871,803,65672,NA,NA,NA,NA,NA,NA,8178.3,0.6
"avg_ship_weight_pop",1872,700,60765,NA,NA,NA,NA,NA,NA,8680.7,0.6
"avg_ship_weight_pop",1873,637,62267,NA,NA,NA,NA,NA,NA,9775,0.7
"avg_ship_weight_pop",1874,413,81291,NA,NA,NA,NA,NA,NA,19683.1,1.3
"avg_ship_weight_pop",1875,337,87691,NA,NA,NA,NA,NA,NA,26021.1,1.8
"avg_ship_weight_pop",1876,312,70022,NA,NA,NA,NA,NA,NA,22442.9,1.5
"avg_ship_weight_pop",1877,286,39287,NA,NA,NA,NA,NA,NA,13736.7,0.9
"avg_ship_weight_pop",1878,221,29365,NA,NA,NA,NA,NA,NA,13287.3,0.9
"avg_ship_weight_pop",1879,269,21213,NA,NA,NA,NA,NA,NA,7885.9,0.5
"avg_ship_weight_pop",1880,263,14526,NA,NA,NA,NA,NA,NA,5523.2,0.4
"avg_ship_weight_pop",1881,228,11356,NA,NA,NA,NA,NA,NA,4980.7,0.3
"avg_ship_weight_pop",1882,233,17809,NA,NA,NA,NA,NA,NA,7643.3,0.5
"avg_ship_weight_pop",1883,154,15080,NA,NA,NA,NA,NA,NA,9792.2,0.7
"avg_ship_weight_pop",1884,154,15781,NA,NA,NA,NA,NA,NA,10247.4,0.7
"avg_ship_weight_pop",1885,197,9945,NA,NA,NA,NA,NA,NA,5048.2,0.3
"avg_ship_weight_pop",1886,193,11421,NA,NA,NA,NA,NA,NA,5917.6,0.4
"avg_ship_weight_pop",1887,167,5191,NA,NA,NA,NA,NA,NA,3108.4,0.2
"avg_ship_weight_pop",1888,277,5960,NA,NA,NA,NA,NA,NA,2151.6,0.1
"avg_ship_weight_pop",1889,354,11615,NA,NA,NA,NA,NA,NA,3281.1,0.2
"avg_ship_weight_pop",1890,357,26774,NA,NA,NA,NA,NA,NA,7499.7,0.5
"avg_ship_weight_pop",1891,353,29784,NA,NA,NA,NA,NA,NA,8437.4,0.6
"avg_ship_weight_pop",1892,278,17599,NA,NA,NA,NA,NA,NA,6330.6,0.4
"avg_ship_weight_pop",1893,286,15501,NA,NA,NA,NA,NA,NA,5419.9,0.4
"avg_ship_weight_pop",1894,219,7935,NA,NA,NA,NA,NA,NA,3623.3,0.2
"avg_ship_weight_pop",1895,248,6503,NA,NA,NA,NA,NA,NA,2622.2,0.2
"avg_ship_weight_pop",1896,183,6606,NA,NA,NA,NA,NA,NA,3609.8,0.2
"avg_ship_weight_pop",1897,161,11458,NA,NA,NA,NA,NA,NA,7116.8,0.5
"avg_ship_weight_pop",1898,163,19478,NA,NA,NA,NA,NA,NA,11949.7,0.8
"avg_ship_weight_pop",1899,188,33802,NA,NA,NA,NA,NA,NA,17979.8,1.2
"avg_ship_weight_pop",1900,188,51476,NA,NA,NA,NA,NA,NA,27380.9,1.9
"avg_ship_weight_pop",1901,154,44328,NA,NA,NA,NA,NA,NA,28784.4,2
"avg_ship_weight_pop",1902,152,37827,NA,NA,NA,NA,NA,NA,24886.2,1.7
"avg_ship_weight_pop",1903,246,44453,NA,NA,NA,NA,NA,NA,18070.3,1.2
"avg_ship_weight_pop",1904,185,21706,NA,NA,NA,NA,NA,NA,11733,0.8
"avg_ship_weight_pop",1905,191,35702,76,NA,264,822,NA,NA,18692.1,1.3
"avg_ship_weight_pop",1906,244,23771,363,11,527,5217,NA,NA,9742.2,0.7
"avg_ship_weight_pop",1907,286,36433,475,84,563,9354,NA,NA,12738.8,0.9
"avg_ship_weight_pop",1908,238,34728,460,NA,745,8872,NA,NA,14591.6,1
"avg_ship_weight_pop",1909,200,34575,370,NA,656,6296,NA,NA,17287.5,1.2
"avg_ship_weight_pop",1910,227,28392,249,NA,301,4873,NA,NA,12507.5,0.9
"avg_ship_weight_pop",1911,202,24034,246,NA,265,5307,NA,NA,11898,0.8
"avg_ship_weight_pop",1912,192,30232,235,NA,368,5653,NA,NA,15745.8,1.1
"avg_ship_weight_pop",1913,208,59915,210,NA,316,4942,NA,NA,28805.3,2
"avg_ship_weight_pop",1914,168,45024,153,NA,23,2769,NA,NA,26800,1.8
"avg_ship_weight_pop",1915,84,24329,153,NA,213,2769,NA,NA,28963.1,2
"avg_ship_weight_pop",1916,10,77341,45,NA,157,1729,NA,NA,773410,52.6
"avg_ship_weight_pop",1917,8,37260,160,NA,76,1855,NA,NA,465750,31.7
"avg_ship_weight_pop",1918,13,59864,30,NA,6,2310,NA,NA,460492.3,31.3
"avg_ship_weight_pop",1919,17,92900,268,NA,12,7410,NA,NA,546470.6,37.2
"avg_ship_weight_pop",1920,15,78640,249,NA,71,7794,NA,NA,524266.7,35.7
"avg_ship_weight_pop",1921,31,143193,261,NA,343,2741,NA,NA,461912.9,31.4
"avg_ship_weight_pop",1922,17,85834,292,NA,473,1496,NA,NA,504905.9,34.4
"avg_ship_weight_pop",1923,16,60000,220,NA,191,471,NA,NA,375000,25.5
"avg_ship_weight_pop",1924,15,74000,116,NA,NA,212,NA,NA,493333.3,33.6
"avg_ship_weight_pop",1925,22,126000,44,NA,96,1342,45800,3600,572727.3,39
"avg_ship_weight_pop",1926,148,250289,44,1,189,2367,60500,3300,169114.2,11.5
"avg_ship_weight_pop",1927,83,93519,96,3,219,3927,50700,3600,112673.5,7.7
"avg_ship_weight_pop",1928,68,66788,68,3,349,4373,53900,3700,98217.6,6.7
"avg_ship_weight_pop",1929,98,71834,116,1,265,1520,51900,3200,73300,5
"avg_ship_weight_pop",1930,126,96312,89,NA,99,1037,41900,4500,76438.1,5.2
"avg_ship_weight_pop",1931,129,167211,25,2,172,1668,25800,2600,129620.9,8.8
"avg_ship_weight_pop",1932,48,49302,57,27,251,746,26500,3100,102712.5,7
"avg_ship_weight_pop",1933,71,18852,3,38,164,72,38200,3500,26552.1,1.8
"avg_ship_weight_pop",1934,81,27363,45,61,33,47,41047,4355,33781.5,2.3
"avg_ship_weight_pop",1935,100,32240,114,45,12,144,41000,9493,32240,2.2
"avg_ship_weight_pop",1936,41,13914,76,107,9,162,36196,16948,33936.6,2.3
"avg_ship_weight_pop",1937,97,42220,83,176,35,79,61366,16342,43525.8,3
"avg_ship_weight_pop",1938,126,106243,113,227,271,1500,59000,11777,84319.8,5.7
"avg_ship_weight_pop",1939,96,135939,107,152,536,2432,55533,13301,141603.1,9.6
"avg_ship_weight_pop",1940,83,101555,69,208,401,1409,22252,25604,122355.4,8.3
"avg_ship_weight_pop",1941,57,108754,59,57,NA,3642,11021,27777,190796.5,13
"avg_ship_weight_pop",1942,86,84994,52,50,12,6325,9345,21062,98830.2,6.7
"avg_ship_weight_pop",1943,61,69049,15,41,3,4376,4014,17120,113195.1,7.7
"avg_ship_weight_pop",1944,49,18788,1,13,2,2091,1818,11963,38342.9,2.6
"avg_ship_weight_pop",1945,34,20835,NA,11,4,2350,2093,8197,61279.4,4.2
"avg_ship_weight_pop",1946,344,73851,2,10,10,4204,10989,17994,21468.3,1.5
