"country_name","yr","marine_consumption_terajoules","hydro_energy_consumption_terajoules"
"Canada","1990",81.20646584,926806.2713
"Canada","1991",95.64938904,921414.477
"Canada","1992",96.60548475,926177.2744
"Canada","1993",96.43741884,945542.5906
"Canada","1994",93.56319814,935161.3302
"Canada","1995",94.80167141,965032.1778
"Canada","1996",91.14344011,1012965.345
"Canada","1997",92.20267782,1010477.96
"Canada","1998",93.57012654,970468.4155
"Canada","1999",92.74956343,1002167.728
"Canada","2000",91.63648373,1026640.755
"Canada","2001",93.89811794,978063.3367
"Canada","2002",93.81349995,1027709.302
"Canada","2003",100.9744293,1032524.736
"Canada","2004",94.31919182,1037009.088
"Canada","2005",91.31717497,1071135.734
"Canada","2006",90.35969017,1028503.142
"Canada","2007",85.04593963,1042053.724
"Canada","2008",92.65949387,1050972.058
"Canada","2009",81.85136561,1005811.408
"Canada","2010",77.94682491,978455.3578
"France","1990",1489.374323,140340.2734
"France","1991",1496.080924,147566.3518
"France","1992",1494.242276,178277.5807
"France","1993",1417.499708,165493.0909
"France","1994",1438.74169,201777.1219
"France","1995",1427.879186,183324.1014
"France","1996",1376.173904,166275.5201
"France","1997",1455.969581,162938.3221
"France","1998",1538.560754,161940.0387
"France","1999",1501.987356,187898.6182
"France","2000",1481.419223,173574.2449
"France","2001",1417.974573,194897.0797
"France","2002",1371.083459,155009.1707
"France","2003",1410.90914,154857.0943
"France","2004",1377.061253,159172.8621
"France","2005",1422.369807,137834.027
"France","2006",1401.353968,151640.5399
"France","2007",1411.20418,157505.6133
"France","2008",1404.157185,174096.3309
"France","2009",1408.873174,162156.4833
"France","2010",1501.839016,175723.6658
