"country","code","yr","paid_leave_max_duration_d1","paid_leave_max_duration_d2","paid_leave_max_duration_d3","paid_leave_highest_rep_rate"
"Austria","AUT",1970,46.1785714285714,46.1785714285714,0,-98
"Austria","AUT",1971,46.1785714285714,46.1785714285714,0,-98
"Austria","AUT",1972,46.1785714285714,46.1785714285714,0,-98
"Austria","AUT",1973,46.1785714285714,46.1785714285714,0,-98
"Austria","AUT",1974,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1975,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1976,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1977,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1978,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1979,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1980,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1981,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1982,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1983,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1984,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1985,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1986,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1987,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1988,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1989,44.1785714285714,44.1785714285714,0,-98
"Austria","AUT",1990,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1991,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1992,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1993,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1994,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1995,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1996,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1997,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1998,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",1999,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",2000,96.3571428571429,96.3571428571429,0,-98
"Austria","AUT",2001,96.3571428571429,96.3571428571429,0,-98
