species_name,common_name
Aptenodytes forsteri,Emperor Penguin
Aptenodytes patagonicus,King Penguin
Eudyptes chrysocome,Southern Rockhopper Penguin
Eudyptes chrysolophus,Macaroni Penguin
Eudyptes moseleyi,Northern Rockhopper Penguin
Eudyptes pachyrhynchus,Fiordland Penguin
Eudyptes robustus,Snares Penguin
Eudyptes schlegeli,Royal Penguin
Eudyptes sclateri,Erect-crested Penguin
Eudyptula minor,Little Blue Penguin (or Fairy Penguin)
Megadyptes antipodes,Yellow-eyed Penguin (Hoiho)
Pygoscelis adeliae,Adélie Penguin
Pygoscelis antarcticus,Chinstrap Penguin
Pygoscelis papua,Gentoo Penguin
Spheniscus demersus,African Penguin
Spheniscus humboldti,Humboldt Penguin
Spheniscus magellanicus,Magellanic Penguin
Spheniscus mendiculus,Galápagos Penguin
